# epochs,loss,accuracy,val_loss,val_accuracy
1.640000000000000000e+02,9.913889443325132889e-02,9.765766263008117676e-01,9.428974169981550746e-02,9.779146909713745117e-01
1.650000000000000000e+02,1.009630576220953979e-01,9.763157367706298828e-01,1.018953717168566975e-01,9.734370112419128418e-01
1.660000000000000000e+02,1.010571723487215801e-01,9.761894941329956055e-01,9.405974858518750814e-02,9.790256619453430176e-01
1.670000000000000000e+02,9.890003503121429229e-02,9.770143032073974609e-01,8.878738045543446700e-02,9.798673391342163086e-01
1.680000000000000000e+02,9.905943083848581243e-02,9.765261411666870117e-01,9.196062879179421612e-02,9.802040457725524902e-01
1.690000000000000000e+02,1.007177493833576326e-01,9.765682220458984375e-01,9.680601175075183307e-02,9.772413372993469238e-01
1.700000000000000000e+02,1.002112737733057979e-01,9.764251112937927246e-01,1.117126113438118296e-01,9.719220399856567383e-01
1.710000000000000000e+02,9.965125164972522820e-02,9.765598177909851074e-01,9.964846619722943222e-02,9.767363667488098145e-01
1.720000000000000000e+02,9.924639539334531579e-02,9.766523838043212891e-01,1.083578142689518020e-01,9.727300405502319336e-01
1.730000000000000000e+02,9.783072058847720742e-02,9.770058989524841309e-01,1.254737455149140535e-01,9.674106836318969727e-01
1.740000000000000000e+02,9.998252316667871620e-02,9.761389493942260742e-01,9.416407367268929407e-02,9.793960452079772949e-01
1.750000000000000000e+02,9.750283309785232055e-02,9.773257374763488770e-01,1.049477611664802190e-01,9.730666875839233398e-01
1.760000000000000000e+02,9.757725858456484103e-02,9.770563840866088867e-01,9.223273608724312511e-02,9.782850146293640137e-01
1.770000000000000000e+02,9.814695515283872185e-02,9.768038988113403320e-01,9.341782911092146036e-02,9.785206913948059082e-01
1.780000000000000000e+02,9.718713643183893303e-02,9.770143032073974609e-01,1.007537935319809536e-01,9.762986898422241211e-01
1.790000000000000000e+02,9.880350448325550539e-02,9.769048690795898438e-01,1.133857495906946677e-01,9.718883633613586426e-01
1.800000000000000000e+02,1.005177380970178058e-01,9.765682220458984375e-01,9.501396141392219608e-02,9.776453375816345215e-01
1.810000000000000000e+02,9.669711918897212766e-02,9.777970314025878906e-01,1.235734811566580188e-01,9.679830074310302734e-01
1.820000000000000000e+02,9.862407954914693964e-02,9.767618179321289062e-01,9.654278327969192941e-02,9.765006899833679199e-01
1.830000000000000000e+02,9.717281894891457994e-02,9.769890308380126953e-01,9.266927635537167141e-02,9.789920449256896973e-01
1.840000000000000000e+02,9.642470969865790664e-02,9.774183034896850586e-01,1.249568959013863251e-01,9.739420413970947266e-01
1.850000000000000000e+02,9.787051368418193953e-02,9.769385457038879395e-01,8.658901006570308978e-02,9.792950153350830078e-01
1.860000000000000000e+02,9.598493801022686678e-02,9.778054356575012207e-01,9.371685638807560059e-02,9.777463674545288086e-01
1.870000000000000000e+02,9.700870863553320844e-02,9.768964648246765137e-01,1.056671683045594390e-01,9.731340408325195312e-01
1.880000000000000000e+02,9.756130468824497637e-02,9.769132733345031738e-01,1.073096006347652037e-01,9.728646874427795410e-01
1.890000000000000000e+02,9.607157680015186718e-02,9.775192737579345703e-01,1.034064819278203151e-01,9.727637171745300293e-01
1.900000000000000000e+02,9.631694986545623338e-02,9.772247076034545898e-01,8.769705684092600484e-02,9.801366925239562988e-01
1.910000000000000000e+02,9.558112619546518807e-02,9.774183034896850586e-01,9.057707768868597520e-02,9.787900447845458984e-01
1.920000000000000000e+02,9.574748295305329782e-02,9.774098992347717285e-01,1.284859477497911351e-01,9.667710065841674805e-01
1.930000000000000000e+02,9.520067377939095410e-02,9.776539802551269531e-01,1.079371682466766097e-01,9.722923636436462402e-01
1.940000000000000000e+02,9.511395781804864169e-02,9.777044653892517090e-01,8.539968738814308902e-02,9.817863702774047852e-01
1.950000000000000000e+02,9.607901934817095202e-02,9.773930311203002930e-01,1.290911473447965974e-01,9.694643616676330566e-01
1.960000000000000000e+02,9.501432175066919228e-02,9.772836565971374512e-01,1.015639554579263054e-01,9.755243659019470215e-01
1.970000000000000000e+02,9.545242599517439475e-02,9.772751927375793457e-01,1.068597270479137995e-01,9.754233360290527344e-01
1.980000000000000000e+02,9.551284034987030103e-02,9.770816564559936523e-01,9.082819614085958781e-02,9.792950153350830078e-01
1.990000000000000000e+02,9.720841243471931015e-02,9.770143032073974609e-01,1.401680403908925621e-01,9.653233885765075684e-01
2.000000000000000000e+02,9.507793912399786773e-02,9.775613546371459961e-01,9.323497822286413994e-02,9.780156612396240234e-01
