# epochs,loss,accuracy,val_loss,val_accuracy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.726805047675161298e-01,7.695468664169311523e-01,5.945823731813487667e-01,8.483654856681823730e-01
2.000000000000000000e+00,6.485952315231907628e-01,8.142428398132324219e-01,5.092168702260053692e-01,8.587011694908142090e-01
3.000000000000000000e+00,5.878731004957247208e-01,8.246462941169738770e-01,4.682984211337657410e-01,8.967444300651550293e-01
4.000000000000000000e+00,5.429430918111716187e-01,8.655238747596740723e-01,4.300661264939030781e-01,9.175504446029663086e-01
5.000000000000000000e+00,5.046254560131614442e-01,8.757250308990478516e-01,4.068702350522686584e-01,9.127697348594665527e-01
