# epochs,loss,accuracy,val_loss,val_accuracy
1.700000000000000000e+01,2.535972533158548647e-01,9.342327713966369629e-01,2.391590446026057304e-01,9.398040771484375000e-01
1.800000000000000000e+01,2.471205266017520441e-01,9.353101253509521484e-01,2.369461938544675794e-01,9.393664002418518066e-01
1.900000000000000000e+01,2.441867707281858146e-01,9.354531764984130859e-01,2.614314184483264025e-01,9.275830984115600586e-01
2.000000000000000000e+01,2.398074447100822792e-01,9.365726113319396973e-01,2.377457138151808369e-01,9.372453689575195312e-01
2.100000000000000000e+01,2.351309029094182379e-01,9.375657439231872559e-01,2.814672710827070268e-01,9.271117448806762695e-01
2.200000000000000000e+01,2.320220126650640036e-01,9.379950165748596191e-01,2.282609556819583385e-01,9.376157522201538086e-01
2.300000000000000000e+01,2.289209187467995676e-01,9.379192590713500977e-01,2.131392906942267407e-01,9.426993727684020996e-01
2.400000000000000000e+01,2.249744575975395067e-01,9.390723109245300293e-01,2.123389135668286853e-01,9.435073733329772949e-01
2.500000000000000000e+01,2.219121062569114899e-01,9.398298263549804688e-01,2.087730750061785601e-01,9.436756968498229980e-01
2.600000000000000000e+01,2.191791119717086123e-01,9.397708773612976074e-01,2.079915780904810496e-01,9.446856975555419922e-01
2.700000000000000000e+01,2.159446866991009961e-01,9.404105544090270996e-01,2.148292422138095015e-01,9.409487247467041016e-01
2.800000000000000000e+01,2.134887397478154036e-01,9.412353634834289551e-01,2.170377871363956823e-01,9.433390498161315918e-01
2.900000000000000000e+01,2.112263129131279338e-01,9.408061504364013672e-01,2.211011800450579934e-01,9.365047216415405273e-01
3.000000000000000000e+01,2.075111353400780623e-01,9.418329596519470215e-01,2.093723829214458043e-01,9.370770454406738281e-01
3.100000000000000000e+01,2.062073285217497498e-01,9.417992830276489258e-01,2.193672292764004828e-01,9.399724006652832031e-01
3.200000000000000000e+01,2.036690774289751371e-01,9.418582320213317871e-01,1.957127127962088597e-01,9.416220784187316895e-01
3.300000000000000000e+01,2.021538314977371353e-01,9.424978494644165039e-01,2.013226429272214901e-01,9.409487247467041016e-01
3.400000000000000000e+01,1.994664795677860147e-01,9.430112838745117188e-01,1.933494396855147957e-01,9.438440799713134766e-01
3.500000000000000000e+01,1.959671663871808689e-01,9.436172842979431152e-01,2.040748272949134690e-01,9.371443986892700195e-01
3.600000000000000000e+01,1.944723822552142933e-01,9.438781738281250000e-01,2.043722766236665267e-01,9.381543993949890137e-01
3.700000000000000000e+01,1.904089869048326555e-01,9.449218511581420898e-01,1.930767428099184058e-01,9.438440799713134766e-01
3.800000000000000000e+01,1.900898417195330814e-01,9.451491236686706543e-01,1.805068930619229128e-01,9.486920237541198730e-01
3.900000000000000000e+01,1.885799325648106761e-01,9.463695287704467773e-01,1.862575388692069289e-01,9.534727334976196289e-01
4.000000000000000000e+01,1.851621665944145068e-01,9.494752287864685059e-01,1.732051461499592160e-01,9.507120251655578613e-01
4.100000000000000000e+01,1.835650237431710741e-01,9.504010677337646484e-01,1.752455805440272241e-01,9.517220258712768555e-01
4.200000000000000000e+01,1.826325984698347338e-01,9.520590901374816895e-01,1.883691407368126292e-01,9.546847343444824219e-01
4.300000000000000000e+01,1.810747253394944245e-01,9.535741209983825684e-01,1.885186222457798932e-01,9.579503536224365234e-01
4.400000000000000000e+01,1.789909103116973377e-01,9.547861218452453613e-01,1.868957059275853927e-01,9.474464058876037598e-01
4.500000000000000000e+01,1.767906214674310195e-01,9.560990929603576660e-01,1.694149801909745068e-01,9.580177068710327148e-01
4.600000000000000000e+01,1.756700058985148638e-01,9.569659829139709473e-01,1.853845927745040589e-01,9.604417085647583008e-01
4.700000000000000000e+01,1.736163511580320895e-01,9.578413367271423340e-01,1.691320602182980193e-01,9.590613842010498047e-01
4.800000000000000000e+01,1.717789289984695267e-01,9.592468738555908203e-01,1.953192978285410442e-01,9.538093805313110352e-01
4.900000000000000000e+01,1.712722158055856314e-01,9.586324691772460938e-01,1.754558538851918870e-01,9.600713849067687988e-01
5.000000000000000000e+01,1.700868180808274288e-01,9.591795802116394043e-01,1.873915063364836597e-01,9.574790596961975098e-01
5.100000000000000000e+01,1.685279750571284652e-01,9.593815207481384277e-01,1.634133731149882141e-01,9.639430642127990723e-01
5.200000000000000000e+01,1.663425791443854662e-01,9.603915214538574219e-01,1.517108763947712102e-01,9.661313891410827637e-01
5.300000000000000000e+01,1.647630503116730427e-01,9.614604711532592773e-01,2.020451540706639515e-01,9.368750452995300293e-01
5.400000000000000000e+01,1.632671546449868949e-01,9.615193605422973633e-01,1.877750104711307932e-01,9.480524063110351562e-01
5.500000000000000000e+01,1.625003461291808504e-01,9.617718458175659180e-01,1.575247738897284644e-01,9.660303592681884766e-01
5.600000000000000000e+01,1.624288186186995109e-01,9.610985517501831055e-01,1.523734694348980456e-01,9.641113877296447754e-01
5.700000000000000000e+01,1.601300659586780695e-01,9.619907140731811523e-01,1.558931128935906463e-01,9.662323594093322754e-01
5.800000000000000000e+01,1.587661923616067172e-01,9.631184935569763184e-01,1.731586392491175908e-01,9.535063505172729492e-01
5.900000000000000000e+01,1.584498926557096898e-01,9.625461697578430176e-01,1.614199683127373330e-01,9.636063575744628906e-01
6.000000000000000000e+01,1.563111798278092324e-01,9.633541703224182129e-01,1.571502819149633856e-01,9.654580354690551758e-01
6.100000000000000000e+01,1.553956520197657676e-01,9.635056853294372559e-01,1.610978168856454229e-01,9.572770595550537109e-01
6.200000000000000000e+01,1.553776656129854106e-01,9.635224938392639160e-01,1.416650127746302557e-01,9.695317149162292480e-01
6.300000000000000000e+01,1.543974487492192904e-01,9.637244939804077148e-01,1.504938554633158676e-01,9.653906822204589844e-01
6.400000000000000000e+01,1.525861285864239802e-01,9.642126560211181641e-01,1.633827692593255443e-01,9.590613842010498047e-01
6.500000000000000000e+01,1.512991880830223124e-01,9.644651412963867188e-01,1.459588675778513978e-01,9.681513905525207520e-01
6.600000000000000000e+01,1.506775004331414314e-01,9.645998477935791016e-01,1.600453277623844484e-01,9.601723551750183105e-01
6.700000000000000000e+01,1.510851564598474084e-01,9.643304944038391113e-01,1.399394666067888537e-01,9.701713919639587402e-01
6.800000000000000000e+01,1.489116168110298788e-01,9.651048183441162109e-01,1.707016623010539913e-01,9.556273818016052246e-01
6.900000000000000000e+01,1.471290754842283499e-01,9.653909802436828613e-01,1.428084206101316589e-01,9.671077132225036621e-01
7.000000000000000000e+01,1.456862756186032559e-01,9.656098484992980957e-01,1.360592515195065688e-01,9.702723622322082520e-01
7.100000000000000000e+01,1.447107684819663731e-01,9.659128189086914062e-01,1.424261116092644108e-01,9.684543609619140625e-01
7.200000000000000000e+01,1.436620218621444678e-01,9.666029810905456543e-01,1.438863727565454220e-01,9.690603613853454590e-01
7.300000000000000000e+01,1.426787526238155468e-01,9.661316275596618652e-01,1.471525340636735679e-01,9.668720364570617676e-01
7.400000000000000000e+01,1.410440140509494344e-01,9.671584963798522949e-01,1.347208115223405001e-01,9.701713919639587402e-01
7.500000000000000000e+01,1.408566381751346630e-01,9.671416282653808594e-01,1.345855470069373117e-01,9.681513905525207520e-01
7.600000000000000000e+01,1.392211877222532257e-01,9.673941135406494141e-01,1.467315314181277808e-01,9.653233885765075684e-01
7.700000000000000000e+01,1.403303341924916903e-01,9.665020108222961426e-01,1.325060067454985890e-01,9.698683619499206543e-01
7.800000000000000000e+01,1.397424377364619996e-01,9.670490622520446777e-01,1.320931081703141663e-01,9.707100391387939453e-01
7.900000000000000000e+01,1.367926477736767232e-01,9.679159522056579590e-01,1.672526369860189155e-01,9.504090547561645508e-01
8.000000000000000000e+01,1.374797694861698838e-01,9.672931432723999023e-01,1.372987866071572194e-01,9.681850075721740723e-01
8.100000000000000000e+01,1.361299045279520670e-01,9.683115482330322266e-01,1.697225409055066747e-01,9.475136995315551758e-01
8.200000000000000000e+01,1.352353491479848790e-01,9.681684374809265137e-01,1.281642441837887170e-01,9.712486863136291504e-01
8.300000000000000000e+01,1.350598723796461731e-01,9.678654670715332031e-01,1.280189205008845643e-01,9.715853333473205566e-01
8.400000000000000000e+01,1.344851368876546216e-01,9.684798717498779297e-01,1.486738940373986684e-01,9.616200327873229980e-01
